name,category,cnet_url_check
Canon Pixma MG6120,Multifunction Ink-Jet Printers,https://www.cnet.com/reviews/canon-pixma-mg6120-review/#comments
LG OLED77CXPUA,OLED TVs,https://www.cnet.com/reviews/lg-oled77cxpua-review/#comments
Razer Raptor 27,,https://www.cnet.com/reviews/razer-raptor-27-review/#comments
"Motorola Razr (2020 Blush Gold, 128GB)",,https://www.cnet.com/reviews/motorola-razr-2020-review/#comments
Sennheiser Momentum True Wireless 2,,https://www.cnet.com/reviews/sennheiser-momentum-true-wireless-2-review/#comments
"Samsung Galaxy S10E (128GB, prism black)",4G Phones,https://www.cnet.com/reviews/samsung-galaxy-s10e-updated-review/#comments
Sony PlayStation VR (Headset),,https://www.cnet.com/reviews/sony-playstation-vr-review/#comments
Canon Pixma MX870,Multifunction Ink-Jet Printers,https://www.cnet.com/reviews/canon-pixma-mx870-review/#comments
Vizio V555-G4,LED TVs,https://www.cnet.com/reviews/vizio-v555-g4-review/#comments
Bose SoundLink Micro (Midnight Blue),Portable Speakers,https://www.cnet.com/reviews/bose-soundlink-micro-review/#comments
"Google Pixel 3 XL (64GB, not pink)",4G Phones,https://www.cnet.com/reviews/google-pixel-3-xl-review/#comments
Acer Predator XB2 XB272,LED Monitors,https://www.cnet.com/reviews/acer-predator-xb2-xb272-review/#comments
"Acer Nitro 5 (Intel Core i5 2.3 GHz, Nvidia GTX 1050)",Intel Notebooks,https://www.cnet.com/reviews/acer-nitro-5-review/#comments
HP Spectre x360 (10th Gen Core i7),,https://www.cnet.com/reviews/hp-spectre-x360-13-inch-2019-review/#comments
"Flex 5 (15"")",Intel Notebooks,https://www.cnet.com/reviews/lenovo-flex-5-15-inch-review/#comments
"Acer Aspire 5 (A515-54-51DJ - 15.6"" - Core i5 8265U - 8 GB RAM - 256 GB SSD - US International)",Intel Notebooks,https://www.cnet.com/reviews/acer-aspire-5-2019-review/#comments
