,Source_Product_Review_ID,Review_Source,Product_Name,Product_Category,Review_Text
0,TWITTER#LGOLED77CXPUA#1306882151351156737,Twitter,LG OLED77CXPUA,OLED TVs,"SAVE $1,000.00 !!! 

LG OLED77CXPUA Alexa Built-In CX 77"" 4K Smart OLED TV (2020) ( PS5 READY )

$3,999.99 ( WAS $4 https://t.co/VasIDLkkdt"
1,TWITTER#LGOLED77CXPUA#1306036977049927680,Twitter,LG OLED77CXPUA,OLED TVs,@Darkcloud25 @BrokenGamezHDR_ I connect my PC to the same LG OLED77CXPUA as my consoles. So that display is a cost https://t.co/aJDbQSHf7D
2,TWITTER#LGOLED77CXPUA#1305779540627787778,Twitter,LG OLED77CXPUA,OLED TVs,"LG OLED77CXPUA 77"" CX 4K OLED TV w/AI ThinQ (2020) with Deco Gear Soundbar Bundle https://t.co/PDGo91QkIb"
3,TWITTER#LGOLED77CXPUA#1304291044972875776,Twitter,LG OLED77CXPUA,OLED TVs,@LordCognito https://t.co/ffYbwExUGe
0,TWITTER#LGOLED77CXPUA#1306882151351156737,Twitter,LG OLED77CXPUA,OLED TVs,"SAVE $1,000.00 !!! 

LG OLED77CXPUA Alexa Built-In CX 77"" 4K Smart OLED TV (2020) ( PS5 READY )

$3,999.99 ( WAS $4 https://t.co/VasIDLkkdt"
1,TWITTER#LGOLED77CXPUA#1306036977049927680,Twitter,LG OLED77CXPUA,OLED TVs,@Darkcloud25 @BrokenGamezHDR_ I connect my PC to the same LG OLED77CXPUA as my consoles. So that display is a cost https://t.co/aJDbQSHf7D
2,TWITTER#LGOLED77CXPUA#1305779540627787778,Twitter,LG OLED77CXPUA,OLED TVs,"LG OLED77CXPUA 77"" CX 4K OLED TV w/AI ThinQ (2020) with Deco Gear Soundbar Bundle https://t.co/PDGo91QkIb"
3,TWITTER#LGOLED77CXPUA#1304291044972875776,Twitter,LG OLED77CXPUA,OLED TVs,@LordCognito https://t.co/ffYbwExUGe
0,TWITTER#RazerRaptor27#1306748678078517249,Twitter,Razer Raptor 27,,RT @Razer: The Razer Raptor boasts a vibrant color profile across its 144Hz G-Sync panel. Find out why the @DigitalTrends team thinks this
1,TWITTER#RazerRaptor27#1306739924000014336,Twitter,Razer Raptor 27,,RT @Razer: The Razer Raptor boasts a vibrant color profile across its 144Hz G-Sync panel. Find out why the @DigitalTrends team thinks this
